opis,delo,pages_expected,status,title,source_url
Опись 1,35,208,ok,"Cтатья К.Э. Циолковского ""Реактивный прибор - ракета"". Напечатана в журнале ""Вестник воздухоплавания"" [№№ 2, 3, 5, 6, 7, 9 за 1911 - 1912 гг.]. ""Исследование мировых пространств реактивными приборами"" 1903 года",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=35
Опись 1,46,185,ok,"Статья К.Э. Циолковского ""Космический корабль"". 1-й вариант",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=46
Опись 1,34,176,ok,"Статья К.Э. Циолковского ""Исследование небесных пространств реактивными приборами""",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=34
Опись 1,51,175,ok,"Статья К.Э. Циолковского ""Аэроплан - ракета"" [Новый самолет для больших высот и скоростей] и материалы к ней",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=51
Опись 1,47,174,ok,"Статья К.Э. Циолковского ""Космический корабль"". 2-й вариант",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=47
Опись 1,84,162,ok,"Статья К.Э. Циолковского ""Альбом космических путешествий""",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=84
Опись 1,252,142,ok,"Статья К.Э. Циолковского ""Жизнь в космическом эфире. Введение и I глава""",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=255
Опись 1,71,136,ok,"Статья К.Э. Циолковского ""Ускорение аэроплана высот от пропеллера"" [окончание труда ""Стратоплан полуреактивный""]",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=71
Опись 1,64,135,ok,"Статья К.Э. Циолковского ""Восходящее ускоренное движение ракетоплана""",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=64
Опись 1,45,126,ok,"Статья К.Э. Циолковского ""Исследование мировых пространств реактивными приборами"", таблицы, формулы и материалы к ней",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=45
